index,year,topic,prob,prob,prob,prob
,,,mean,median,std,count
290,2013,0,0.04685801923598932,0.033990517258644104,0.03861036364747374,23
291,2013,1,0.026245448535875134,0.02007838524878025,0.019935158659583063,23
292,2013,2,0.2924944537521248,0.2639487385749817,0.14755217907684945,71
293,2013,3,0.10394973515771157,0.08555448800325394,0.08325986243597118,43
294,2013,4,0.27423647412304153,0.281547874212265,0.16673078506684574,59
295,2013,5,0.14784479593592031,0.11448999866843224,0.09412068140488145,42
296,2013,6,0.14267838286349968,0.10824868828058243,0.12192183134824344,49
297,2013,7,0.0329751069098711,0.0223405659198761,0.027883796028413236,25
298,2013,8,0.28671904867642545,0.26458171010017395,0.15954257895246896,73
299,2013,9,0.030937193808230488,0.028017031028866768,0.014536259881221588,11
300,2014,0,0.08996658822772999,0.05935466289520264,0.077087800838589,363
301,2014,1,0.02363354418239447,0.017790352925658226,0.018015719659986204,179
302,2014,2,0.19532691783973719,0.15976692736148834,0.14100151486672474,666
303,2014,3,0.12388737645925708,0.09805705398321152,0.10150343288888723,479
304,2014,4,0.19338869972247963,0.12790461629629135,0.17113447803176132,558
305,2014,5,0.3468948088855141,0.34601789712905884,0.18428159736227948,783
306,2014,6,0.21087716313538082,0.16974395513534546,0.15457199668671265,637
307,2014,7,0.03105873905383704,0.022237330675125122,0.026961754053489318,285
308,2014,8,0.18955281160409876,0.15556758642196655,0.13455149972309086,741
309,2014,9,0.02446548216508336,0.017742643132805824,0.01793670530927746,209
310,2015,0,0.08627467473376203,0.056839268654584885,0.07744588353830875,44
311,2015,1,0.8280963713791475,0.9634893536567688,0.3341441486216655,103
312,2015,2,0.16076534838174228,0.11422498151659966,0.15013777773524736,54
313,2015,3,0.061120114926444855,0.037367457523941994,0.0548124345914699,38
314,2015,4,0.10995723149972036,0.05372295528650284,0.12182948293567233,32
315,2015,5,0.1638080757469512,0.13435257971286774,0.13304914003380974,52
316,2015,6,0.2153251829977129,0.20847485959529877,0.15288195306658073,51
317,2015,7,0.03594128078677588,0.020624767057597637,0.043928948000182974,36
318,2015,8,0.3238993829008246,0.28506898880004883,0.21655298405855505,69
319,2015,9,0.020065185966322552,0.017704978585243225,0.008759663465131146,37
320,2016,0,0.1077062779065198,0.0811840295791626,0.088847553916439,795
321,2016,1,0.3217219306635532,0.026043875142931938,0.4354768617298184,505
322,2016,2,0.19887181462379716,0.15834426134824753,0.1529403864974351,1226
323,2016,3,0.1176595358572462,0.08267275989055634,0.1044247570545204,850
324,2016,4,0.1870861305524417,0.133754163980484,0.16287021065131393,915
325,2016,5,0.29002176033816784,0.26392191648483276,0.1899436681033086,1332
326,2016,6,0.2089924874087512,0.1682530641555786,0.1568992188034173,1222
327,2016,7,0.035833407291194615,0.026677985675632954,0.02574297384951318,562
328,2016,8,0.256714401121045,0.21577921509742737,0.17963448120303313,1431
329,2016,9,0.025805410185801278,0.019152868539094925,0.01830266580291115,406
330,2017,0,0.1259808523567818,0.10168462246656418,0.09561779871707922,1329
331,2017,1,0.13637936452154864,0.021037261933088303,0.30474410913552447,554
332,2017,2,0.24285759869916435,0.19119666516780853,0.17753844016861076,2003
333,2017,3,0.1191440935755724,0.08393251895904541,0.10425367181539122,1094
334,2017,4,0.18147077613627208,0.13239776343107224,0.1547199739300194,1162
335,2017,5,0.18449532162271462,0.14721012860536575,0.14093942424915792,1412
336,2017,6,0.1767063738182694,0.14139573276042938,0.1316781044842383,1617
337,2017,7,0.038099164888469476,0.02757483720779419,0.03028248207600128,901
338,2017,8,0.3732915424236504,0.3572964072227478,0.19756462970984007,2326
339,2017,9,0.024936818138654334,0.01964305341243744,0.017051893364002573,511
340,2018,0,0.11480755251769237,0.08257809653878212,0.09746580143070975,1772
341,2018,1,0.10191233707655974,0.01978263631463051,0.25791569325458724,872
342,2018,2,0.21574105304220148,0.1677212119102478,0.16574599199778756,2685
343,2018,3,0.11327887176818664,0.0809709019958973,0.09952923525802289,1608
344,2018,4,0.16641537337377016,0.11532417684793472,0.1463952554438525,1719
345,2018,5,0.17361007856020247,0.13299159705638885,0.13724499901870366,1854
346,2018,6,0.1588549534117548,0.12028925120830536,0.126756233708283,2146
347,2018,7,0.03725827129935768,0.02695659175515175,0.03256169097299004,1217
348,2018,8,0.42541025785971986,0.4291321933269501,0.20411611682350875,3185
349,2018,9,0.026757452736034037,0.019626492634415627,0.019957402286702678,705
350,2019,0,0.11714297090052571,0.08257210999727249,0.10256384563905131,2234
351,2019,1,0.07371681736847258,0.019419655203819275,0.21021527723532615,1231
352,2019,2,0.19485795379864226,0.15056002140045166,0.14944505295994787,3475
353,2019,3,0.10989036834816064,0.07958975806832314,0.09503516917352342,2152
354,2019,4,0.16283608808510008,0.11085370182991028,0.14724275692498087,2321
355,2019,5,0.16166974229003298,0.1213461235165596,0.13247873465193916,2474
356,2019,6,0.15048617664481986,0.11043676733970642,0.12716017848958966,2764
357,2019,7,0.037404389635652784,0.026512086391448975,0.03135806019147925,1604
358,2019,8,0.4356298180138159,0.43997278809547424,0.20684892149486336,4139
359,2019,9,0.026363907731950638,0.019215676933526993,0.01913193816288027,1003
360,2020,0,0.11050556665363664,0.0800749771296978,0.09738523542864916,3376
361,2020,1,0.09411160436995418,0.019925403408706188,0.24206173050572977,2142
362,2020,2,0.17898500760662414,0.13808272033929825,0.14051066858934125,5250
363,2020,3,0.1112521987521995,0.0817013531923294,0.09593085495245013,3509
364,2020,4,0.15582876487271094,0.10136479511857033,0.14346566184913728,3618
365,2020,5,0.2048786531253184,0.15849721431732178,0.16167998011612716,4281
366,2020,6,0.13496708944280003,0.10000000149011612,0.11238004200610259,4194
367,2020,7,0.03692864525515858,0.026214009150862694,0.03041940455842631,2457
368,2020,8,0.41106979916793784,0.4137687385082245,0.21230279728039064,6207
369,2020,9,0.029309543543394656,0.020000237971544266,0.026836331143665966,1713
370,2021,0,0.10072034622088011,0.07386422157287598,0.08732581579053696,3059
371,2021,1,0.049886750329385124,0.018593478947877884,0.14847690394430854,1989
372,2021,2,0.17072658174501198,0.12847059220075607,0.13709774584283352,4820
373,2021,3,0.10984870010915057,0.08297032117843628,0.09193491961662364,3162
374,2021,4,0.1542970315563434,0.10083389282226562,0.13792140874113834,3383
375,2021,5,0.15989053994261754,0.12102442979812622,0.13070733989078043,3595
376,2021,6,0.12109802241272906,0.09242362529039383,0.10044463440219131,3652
377,2021,7,0.038452356613794175,0.026796668767929077,0.03484261748815629,2265
378,2021,8,0.4585186670485123,0.47165311872959137,0.20587119769824042,5680
379,2021,9,0.028522715611813892,0.02000018209218979,0.023108652776910082,1566
380,2022,0,0.10527144783226121,0.07205799594521523,0.09575160594245295,1576
381,2022,1,0.08686778174493626,0.019662724807858467,0.23171758505504964,1111
382,2022,2,0.16325710990836767,0.11884479224681854,0.135049115217675,2498
383,2022,3,0.11592187568597292,0.09221047908067703,0.09419158528484811,1721
384,2022,4,0.13564544398745268,0.09212334454059601,0.12260650155657929,1654
385,2022,5,0.15432922950936281,0.11162126436829567,0.13162830529517472,1762
386,2022,6,0.11450534143495252,0.0854635015130043,0.09639345543033731,1840
